brand,model,year,price,mileage,horsepower,engine_capacity,engine_type,gear,transmission,bodywork,steering_wheel,tech_condition,owners_num,doors_num,vin,color
Audi,Q7,2011,1999000,81000,245,2.967,DIESEL,ALL_WHEEL_DRIVE,AT,ALLROAD,LEFT,BEATEN,3,5,WA1LMAFEXBD010549,BLACK
Audi,Q5,2009,990000,114000,211,1.984,GASOLINE,ALL_WHEEL_DRIVE,AT,ALLROAD,LEFT,BEATEN,5,5,WAUZZZ8R39A041327,GREY
Audi,Q7,2015,2250000,91850,245,2.967,DIESEL,ALL_WHEEL_DRIVE,AT,ALLROAD,LEFT,BEATEN,2,5,,BLACK
Audi,ТАЙОТА,1997,350000,1000,78,1600.0,DIESEL,,,,,,,,,WHITE
Audi,A6 AVANT,2006,445000,198000,177,2.4,GASOLINE,FORWARD_CONTROL,CVT,WAGON,LEFT,BEATEN,4,5,,GREY
Audi,Q7,2008,1150000,205000,325,4.143,DIESEL,ALL_WHEEL_DRIVE,AT,ALLROAD,,,,5,WАUZZZ4L58D069371,BLACK
Audi,Q7,2015,2800000,120000,249,3.0,DIESEL,ALL_WHEEL_DRIVE,AT,ALLROAD,LEFT,BEATEN,1,5,WAUZZZ4M8GD014579,BROWN
Audi,A6,2009,610000,185530,170,1.984,GASOLINE,FORWARD_CONTROL,MT,SEDAN,LEFT,BEATEN,1,4,WAUZZZ4F89Z016050,BLACK
Audi,A6,2012,900000,190000,180,2.0,GASOLINE,FORWARD_CONTROL,CVT,SEDAN,,BEATEN,4,5,,
Audi,A1,2013,805000,86000,122,1.4,GASOLINE,FORWARD_CONTROL,AMT,HATCHBACK,LEFT,BEATEN,2,5,WAUZZZ8X6EB001729,ORANGE
Audi,A6,2014,1075000,101000,170,1.984,GASOLINE,FORWARD_CONTROL,CVT,SEDAN,,BEATEN,4,4,,
Audi,A6 allroad,2001,285000,178000,254,2.7,GASOLINE,ALL_WHEEL_DRIVE,AT,WAGON,LEFT,BEATEN,2,5,WAUYP64B21N035427,GREY
Audi,А4,1996,145000,350000,160,1.6,GASOLINE,FORWARD_CONTROL,MT,SEDAN,LEFT,BEATEN,2,4,WAUZZZ8DZTA176181,BLACK
Audi,A6,2005,345000,255000,350,4.163,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,,BEATEN,5,4,,
Audi,80,1988,50000,331131,90,1.781,GASOLINE,FORWARD_CONTROL,MT,SEDAN,,BEATEN,3,5,wauzzz89zja200764,BLUE
Audi,A8,2008,570000,124000,,,,,CVT,SEDAN,,,4,5,,
Audi,A6,1998,250000,435050,165,2.393,GASOLINE,FORWARD_CONTROL,AT,SEDAN,,BEATEN,,4,,
Audi,100,1991,120000,300000,136,2.309,GASOLINE,FORWARD_CONTROL,AT,SEDAN,,BEATEN,,4,,
Audi,A4,1998,215000,260000,110,1.9,DIESEL,FORWARD_CONTROL,MT,SEDAN,,,,,,
Audi,A5,2013,900000,130000,,,,ALL_WHEEL_DRIVE,AT,COUPE,,,2,2,,
Audi,Q3,2014,1150000,76000,150,1.4,GASOLINE,FORWARD_CONTROL,AT,HATCHBACK,,,1,5,,
Audi,80,1991,80000,354000,90,1.781,GASOLINE,FORWARD_CONTROL,MT,SEDAN,,BEATEN,5,4,,
Audi,A6,2001,385000,300000,170,2.4,GASOLINE,FORWARD_CONTROL,CVT,SEDAN,LEFT,BEATEN,2,4,WAUZZZ4BZ1N150936,BLUE
Audi,80,1991,100000,3540000,75,1.781,GASOLINE,FORWARD_CONTROL,MT,SEDAN,,BEATEN,5,4,,
Audi,80,1985,40000,334000,75,1.6,GASOLINE,FORWARD_CONTROL,MT,SEDAN,,BEATEN,4,4,,
